blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,redWardsPlaced,redWardsDestroyed,redDragons,redHeralds,redTowersDestroyed,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff
0,24,3,0,6,7,0,0,0,208,70,-49,17,2,1,0,0,207,45,49
1,18,2,1,6,4,1,0,0,229,54,1687,36,3,0,1,0,232,56,-1687
1,122,3,1,9,1,1,1,0,229,68,3933,14,3,0,0,0,233,40,-3933
0,12,4,0,4,10,1,0,0,203,41,-4061,16,2,0,0,0,224,72,4061
0,52,2,0,6,12,0,0,0,188,42,-4920,15,1,0,1,1,240,62,4920
0,19,2,0,4,5,0,0,0,210,52,-1705,11,4,0,0,0,227,62,1705
0,32,4,1,7,8,1,0,0,212,46,105,24,5,0,1,0,200,42,-105
1,14,0,0,3,5,0,0,0,233,57,-554,11,1,1,0,0,234,44,554
0,19,5,1,4,5,0,0,0,198,53,-1037,18,4,1,0,0,241,44,1037
0,16,2,1,9,8,0,1,0,202,62,-1144,13,5,1,0,1,199,45,1144
1,36,0,1,5,4,0,0,0,200,32,1173,12,1,1,0,0,186,63,-1173
0,18,2,1,8,2,0,0,0,232,44,3194,13,3,1,0,0,208,51,-3194
0,13,3,1,2,7,1,0,0,204,38,-2622,12,0,0,0,0,192,36,2622
1,15,3,1,6,4,1,0,0,242,52,1151,15,2,0,1,0,205,50,-1151
1,50,4,1,6,4,1,1,0,200,52,1463,48,2,0,0,0,169,52,-1463
0,14,2,0,4,6,0,0,0,221,52,-1038,15,2,1,1,0,226,66,1038
1,17,2,1,8,4,0,1,0,212,40,1424,13,4,0,0,0,180,61,-1424
1,18,1,0,13,9,1,0,0,232,44,527,12,4,0,0,0,216,63,-527
0,17,5,0,7,6,0,0,0,242,46,1807,52,4,1,1,0,198,60,-1807
0,43,6,1,11,4,0,1,0,256,43,2856,16,0,1,0,0,210,72,-2856
0,12,1,0,6,6,1,0,0,204,56,-964,13,1,0,1,0,241,56,964
0,20,2,0,7,8,0,1,0,199,51,-178,42,7,1,0,0,178,47,178
1,18,3,0,9,8,1,0,0,235,41,705,16,0,0,0,0,207,44,-705
1,16,0,0,10,10,1,0,0,208,55,908,15,1,0,0,0,210,44,-908
1,14,2,0,7,2,1,1,0,261,68,3558,25,0,0,0,0,220,56,-3558
0,12,6,0,1,6,0,0,0,241,56,-1299,53,1,1,0,0,218,47,1299
1,16,4,0,5,8,1,0,0,201,48,-1763,19,2,0,0,0,248,40,1763
1,15,0,0,10,4,0,0,0,232,64,2547,12,1,0,0,0,247,41,-2547
0,13,3,0,3,10,1,0,0,210,53,-3685,20,3,0,1,0,200,67,3685
0,83,13,1,7,11,0,0,0,194,25,-3689,35,2,1,0,0,216,59,3689
0,17,4,1,3,5,0,0,0,236,73,-764,33,4,1,1,0,233,46,764
1,16,3,1,9,2,0,0,0,223,51,3037,14,2,1,0,0,213,41,-3037
1,14,4,1,7,7,0,0,1,257,62,3545,19,3,1,0,0,145,36,-3545
0,14,2,0,7,7,1,0,0,209,48,-1031,16,4,0,0,0,255,60,1031
0,17,1,0,5,10,0,0,0,213,59,-1796,16,2,1,0,0,214,44,1796
1,16,6,1,5,4,0,0,0,247,37,1626,17,2,1,0,0,203,51,-1626
1,40,1,0,6,8,0,1,0,250,70,832,12,1,1,0,0,186,48,-832
1,16,0,0,11,6,1,1,0,242,52,2750,14,2,0,0,0,203,52,-2750
0,16,1,0,5,8,0,1,0,227,28,-1524,11,3,0,0,0,186,39,1524
0,16,4,1,6,8,1,0,0,224,53,-1370,20,2,0,0,0,210,36,1370
0,14,3,0,4,6,0,0,0,209,43,-1506,17,3,1,0,0,231,44,1506
0,13,5,0,6,7,0,0,0,199,52,-1101,17,4,1,1,0,212,40,1101
0,18,4,0,8,3,0,1,0,252,44,2774,15,4,1,0,0,225,47,-2774
0,24,0,0,8,11,0,0,0,222,44,-1806,13,3,1,1,0,215,55,1806
0,12,5,0,6,4,1,0,0,248,44,1265,16,5,0,1,0,207,52,-1265
1,17,3,0,6,14,0,0,0,200,46,-4443,16,3,1,0,0,227,66,4443
0,19,3,0,3,5,0,0,0,233,59,-927,16,4,1,0,0,216,48,927
1,12,3,1,9,5,0,0,0,221,36,1425,14,2,1,1,0,208,44,-1425
1,14,3,0,6,4,1,0,0,211,60,1177,14,0,0,0,0,204,71,-1177
1,19,2,1,2,7,1,0,0,231,64,-1586,17,5,0,1,0,211,64,1586
0,16,2,0,5,10,1,1,0,232,44,-2896,15,2,0,0,0,236,76,2896
1,18,1,0,12,9,0,0,0,143,48,905,12,3,0,0,0,181,40,-905
0,17,1,1,9,17,0,0,0,187,29,-3887,31,1,0,0,0,211,40,3887
1,32,2,1,12,6,1,0,0,202,47,3413,16,2,0,0,0,210,39,-3413
0,16,2,1,7,9,1,1,0,228,48,-256,34,2,0,0,0,230,52,256
1,19,5,1,7,10,0,0,0,227,44,-1820,17,7,0,0,0,231,45,1820
1,14,1,1,6,4,1,0,0,224,39,625,102,1,0,0,0,217,48,-625
0,12,2,0,2,6,0,0,0,196,60,-3628,14,2,1,0,0,266,60,3628
0,30,6,1,5,5,0,1,0,217,67,769,16,4,1,0,0,233,54,-769
0,18,5,0,8,8,1,0,0,229,43,-576,18,3,0,1,0,198,66,576
0,14,16,0,3,9,0,0,0,213,40,-3900,42,2,1,0,0,255,51,3900
1,14,2,0,9,8,1,0,0,192,43,-7,19,2,0,1,0,209,60,7
1,13,6,1,10,7,0,0,0,207,44,1683,14,3,1,0,0,231,56,-1683
0,16,4,0,3,10,0,0,0,193,40,-4782,17,8,1,0,0,245,51,4782
1,38,3,1,9,7,1,0,0,205,40,636,14,1,0,0,0,215,48,-636
1,40,1,0,7,14,1,0,0,183,37,-3421,13,4,0,0,0,219,49,3421
1,18,5,0,5,3,1,0,0,240,61,976,39,3,0,0,0,230,42,-976
0,40,3,0,6,7,0,0,0,212,52,-211,17,4,0,1,0,211,46,211
1,18,5,0,7,5,0,0,0,215,52,1221,35,3,0,0,0,197,48,-1221
1,17,5,0,7,1,0,0,0,226,36,2037,35,3,1,0,0,217,80,-2037
1,15,5,1,6,3,1,0,0,241,36,817,38,2,0,0,0,229,58,-817
1,18,2,1,4,4,0,0,0,215,48,-137,15,1,1,0,0,227,72,137
1,43,6,1,4,7,1,0,0,226,33,-1539,23,9,0,0,0,205,52,1539
0,13,5,0,5,7,0,0,0,191,48,-1707,62,3,1,0,0,216,51,1707
1,13,1,0,6,9,1,0,0,228,55,-556,17,1,0,0,0,143,60,556
1,20,1,1,9,7,1,0,0,199,37,-146,12,3,0,1,0,225,44,146
1,15,1,1,12,4,0,1,0,227,37,4083,15,2,1,0,0,191,52,-4083
1,17,1,0,5,5,0,0,0,223,64,1389,38,2,1,0,0,226,49,-1389
0,28,4,0,3,4,1,0,0,211,55,-890,16,2,0,1,0,208,44,890
0,12,3,1,4,9,0,0,0,192,32,-2519,18,3,0,0,0,194,46,2519
0,87,1,0,4,15,0,0,0,183,30,-4440,10,1,0,0,0,201,51,4440
1,15,3,1,7,6,0,0,0,251,64,1140,17,1,1,1,0,190,56,-1140
0,15,4,1,5,7,0,0,0,172,40,-1656,13,5,0,0,0,219,51,1656
1,23,3,0,10,5,0,0,0,192,40,2171,37,2,1,1,0,199,40,-2171
1,18,1,1,12,4,0,0,0,206,60,3841,14,2,0,0,0,216,56,-3841
1,16,3,0,4,11,0,1,1,232,40,-885,37,1,1,0,0,216,36,885
0,16,2,0,3,8,1,1,0,191,60,-2752,17,4,0,0,0,241,52,2752
1,17,3,1,13,9,0,0,0,207,31,2081,17,4,0,0,0,200,44,-2081
0,15,5,1,4,3,0,0,0,232,53,453,16,2,0,0,0,209,51,-453
0,15,2,1,3,1,1,0,0,224,56,830,40,4,0,1,0,220,56,-830
0,21,2,0,8,8,0,0,0,203,48,94,17,4,0,0,0,168,48,-94
0,70,2,0,8,6,1,1,0,178,56,-722,13,1,0,0,0,232,39,722
0,18,1,0,6,7,0,1,0,230,47,-1491,38,5,1,0,0,222,53,1491
0,10,1,0,6,14,0,0,0,198,59,-3109,13,1,1,1,0,201,37,3109
0,15,4,1,7,11,0,0,0,230,56,537,16,4,1,0,0,178,51,-537
1,15,9,0,13,5,1,1,0,222,71,4079,39,1,0,0,0,208,40,-4079
1,91,3,0,10,5,0,0,1,213,50,4006,17,1,0,0,0,210,47,-4006
0,18,2,1,3,10,0,0,0,200,48,-3582,16,0,1,1,0,246,63,3582
1,16,4,0,6,6,0,0,0,205,56,-355,19,3,1,0,0,224,48,355
1,18,11,1,7,6,0,0,1,207,46,3464,41,1,0,0,0,178,22,-3464
1,16,2,1,9,5,1,0,0,225,60,2217,12,1,0,1,0,229,32,-2217
1,13,1,1,8,3,1,1,0,235,59,3049,13,3,0,0,0,234,54,-3049
1,13,2,0,5,6,1,0,0,198,44,-305,25,2,0,0,0,199,40,305
0,54,3,0,4,2,1,0,0,229,53,1325,15,3,0,1,0,218,54,-1325
1,17,2,1,6,6,0,0,0,221,44,-53,14,4,1,0,0,203,52,53
0,35,1,0,5,9,0,0,0,196,40,-2865,16,4,1,0,0,237,32,2865
0,10,1,1,7,7,0,0,0,215,42,-93,33,0,1,0,0,217,40,93
0,19,5,1,6,7,0,0,0,225,46,-420,15,3,1,0,0,212,50,420
1,22,6,1,7,3,1,0,0,253,64,5008,60,6,0,1,0,179,45,-5008
0,19,2,1,4,6,0,0,0,188,53,-2074,19,3,1,1,0,196,56,2074
1,14,5,0,5,4,0,1,0,188,63,-3,20,3,0,0,0,190,48,3
0,15,2,1,5,5,0,0,0,213,47,-837,21,3,1,1,0,249,47,837
1,38,2,1,5,5,1,0,0,229,39,510,37,4,0,1,0,216,55,-510
0,16,3,0,6,11,1,0,0,200,43,-3549,14,4,0,0,0,214,60,3549
1,17,4,0,6,6,0,0,0,240,56,272,56,2,1,0,0,199,68,-272
1,18,2,1,9,5,0,0,0,230,51,2187,45,3,0,0,0,206,52,-2187
0,19,6,0,2,8,0,0,0,222,33,-4907,18,7,0,1,1,242,40,4907
1,14,3,1,5,4,1,0,0,238,64,63,16,1,0,0,0,210,64,-63
1,17,0,0,4,8,0,1,0,222,68,-2132,15,2,1,0,0,230,47,2132
0,12,4,0,5,6,0,1,0,211,71,-976,15,2,1,0,0,222,69,976
0,86,4,1,3,5,0,0,0,186,62,-1342,36,6,1,0,0,218,54,1342
1,16,1,1,8,2,1,0,0,229,40,2304,14,3,0,0,0,208,44,-2304
1,15,6,0,10,2,0,0,0,218,70,4219,83,3,1,0,0,219,56,-4219
0,22,7,1,6,7,0,0,0,180,45,-2049,46,6,0,0,0,243,46,2049
0,16,4,0,1,5,0,0,0,187,48,-4179,20,4,1,0,0,236,67,4179
0,17,7,0,6,6,0,0,0,269,40,-66,19,5,1,0,0,245,56,66
1,16,3,0,9,7,1,1,0,178,60,510,14,1,0,0,0,215,56,-510
0,15,3,1,4,3,0,1,0,263,53,2591,15,2,1,0,0,208,35,-2591
0,14,1,1,4,12,0,0,0,198,46,-3772,13,1,1,0,1,177,53,3772
0,25,1,1,6,6,1,0,0,240,43,965,17,2,0,0,0,233,51,-965
0,11,1,0,1,5,0,0,0,223,34,-3468,14,2,1,1,0,259,70,3468
1,25,5,1,14,3,0,0,0,212,54,6153,13,4,0,0,0,196,45,-6153
0,15,0,0,0,5,0,0,0,233,60,-2216,56,2,1,0,0,229,60,2216
0,17,4,0,6,11,1,0,0,191,39,-2308,19,6,0,0,0,206,28,2308
1,17,4,1,6,6,0,1,0,210,54,1917,14,2,1,0,0,194,51,-1917
0,14,4,0,4,7,0,0,0,268,52,-1676,13,4,1,0,0,244,84,1676
1,18,1,1,10,5,1,0,0,242,48,2709,13,0,0,0,0,214,60,-2709
0,17,5,0,6,8,0,0,0,222,36,-1304,40,6,1,0,0,216,46,1304
1,42,4,1,8,5,1,0,0,229,59,1824,14,1,0,0,0,222,60,-1824
0,17,7,0,11,8,0,0,0,174,38,229,17,5,1,1,0,212,44,-229
1,15,2,0,4,4,0,1,0,252,57,1507,29,2,0,0,0,214,56,-1507
0,12,3,0,1,5,1,0,0,231,65,-1787,17,3,0,0,0,235,61,1787
0,14,2,0,8,7,0,0,0,234,49,815,15,2,0,0,0,182,52,-815
0,13,2,0,5,14,1,0,0,167,48,-4767,15,1,0,0,0,238,44,4767
0,13,3,0,4,6,0,0,0,221,43,-1861,15,4,1,0,0,262,64,1861
0,68,0,0,1,14,1,0,0,174,53,-7655,15,4,0,0,1,234,29,7655
1,20,1,0,4,9,0,0,0,212,56,-2058,12,6,0,0,0,224,54,2058
1,16,3,0,5,5,1,0,0,201,52,-575,18,1,0,0,0,213,64,575
0,12,2,1,4,2,0,1,0,245,61,1765,15,0,0,0,0,212,58,-1765
0,13,5,1,5,5,0,1,0,220,40,540,15,2,1,0,0,185,54,-540
1,16,3,0,12,9,0,0,0,186,48,862,17,4,1,0,0,204,48,-862
1,35,3,1,6,2,1,0,0,221,44,2761,15,1,0,0,0,201,40,-2761
0,14,2,0,3,8,0,0,0,227,61,-1249,84,4,1,0,0,214,44,1249
1,35,2,0,5,5,0,0,0,244,60,-75,17,4,1,0,0,217,52,75
1,18,3,1,14,5,1,0,0,230,48,5805,17,1,0,0,0,178,28,-5805
0,22,4,0,5,7,0,1,0,198,59,-810,13,5,1,0,0,212,52,810
0,124,3,1,5,4,0,1,0,225,51,1034,17,4,0,0,0,227,47,-1034
1,18,1,1,3,7,0,0,0,231,50,-2595,17,8,0,1,0,260,51,2595
1,22,5,0,1,2,0,0,0,228,55,-334,16,1,1,0,0,223,48,334
1,13,3,1,11,4,1,1,1,233,44,3806,15,0,0,0,0,231,44,-3806
0,34,3,0,2,7,0,0,0,220,37,-2711,13,2,0,0,0,230,58,2711
1,24,1,1,8,4,0,0,0,242,48,2551,17,1,0,0,0,195,46,-2551
0,50,12,1,6,3,1,0,0,213,48,66,37,3,0,0,0,254,60,-66
0,16,3,0,10,5,1,0,0,213,52,2242,36,1,0,0,0,225,47,-2242
0,13,2,0,2,5,0,1,0,252,51,-893,13,4,0,0,0,231,44,893
0,33,1,0,2,5,0,0,0,230,56,-1208,17,1,1,0,0,248,43,1208
1,13,3,0,12,4,0,0,0,255,50,4003,17,1,1,0,0,215,50,-4003
1,17,3,0,8,6,1,0,0,240,43,819,13,5,0,0,0,206,52,-819
1,78,4,1,9,3,0,0,0,230,52,4009,18,0,0,1,0,183,49,-4009
0,16,2,0,5,6,1,0,0,221,58,-259,16,4,0,0,0,247,64,259
0,22,2,1,9,6,0,0,0,212,40,1728,11,2,0,0,0,180,56,-1728
0,15,5,0,5,5,0,1,0,241,48,474,15,2,1,0,0,207,36,-474
0,19,2,1,9,3,0,0,0,202,41,1863,17,2,0,0,0,204,58,-1863
0,40,4,0,1,7,0,0,0,200,48,-3846,17,5,1,0,0,253,52,3846
0,13,1,0,1,3,0,0,0,227,47,-2373,17,1,1,0,0,250,76,2373
1,15,2,0,8,7,1,0,0,204,49,218,14,5,0,0,0,209,55,-218
1,31,2,1,6,4,0,0,0,235,59,2208,20,1,0,0,0,215,40,-2208
0,44,2,0,5,7,1,0,0,217,64,-1440,17,4,0,0,0,241,52,1440
0,27,2,0,10,12,1,0,0,184,36,-845,14,5,0,0,0,208,68,845
0,16,0,0,5,9,0,0,0,173,47,-2635,12,3,1,0,0,241,43,2635
1,54,4,0,6,1,1,1,0,224,51,2817,37,3,0,0,0,207,56,-2817
1,13,3,0,9,5,1,1,0,223,70,2812,16,2,0,0,0,226,55,-2812
0,17,3,0,1,6,0,0,0,218,44,-3864,24,4,1,0,0,263,48,3864
1,14,2,0,5,6,1,0,0,233,76,334,16,2,0,0,0,230,60,-334
1,12,2,1,7,6,1,0,0,246,44,1909,16,0,0,0,0,196,40,-1909
0,14,1,1,7,7,0,0,0,209,44,-346,33,1,0,0,0,182,67,346
1,24,3,1,14,4,0,0,0,249,67,5802,13,5,1,0,0,186,44,-5802
1,14,1,1,6,4,1,0,0,228,47,1085,12,2,0,0,0,220,48,-1085
0,36,2,1,4,11,1,0,0,197,56,-2383,16,1,0,0,0,182,59,2383
1,40,7,0,8,9,0,1,0,214,45,306,25,4,0,0,0,208,33,-306
0,19,2,1,5,7,0,0,0,209,51,-1568,19,5,1,0,0,215,71,1568
1,17,3,0,5,7,1,0,0,234,56,-1419,39,2,0,1,0,227,52,1419
1,27,5,1,10,6,0,1,0,222,52,2263,18,1,1,0,0,213,60,-2263
1,17,4,1,6,2,0,0,0,230,43,1374,17,4,1,0,0,217,51,-1374
1,18,5,0,14,4,1,0,0,220,56,4301,66,2,0,0,0,205,60,-4301
1,13,0,1,9,4,0,0,0,220,54,3905,15,3,0,0,0,181,52,-3905
1,15,2,0,3,8,0,0,0,194,42,-2919,16,2,1,0,0,207,51,2919
1,22,2,1,6,0,1,0,0,265,59,2923,15,7,0,0,0,242,48,-2923
0,19,2,0,4,7,0,0,0,210,55,-1059,15,4,1,1,0,214,49,1059
0,12,0,0,3,5,0,1,0,270,52,-406,14,1,1,0,0,235,56,406
1,16,1,0,7,3,1,0,0,238,43,1143,11,0,0,0,0,216,59,-1143
1,57,3,0,11,9,0,0,0,225,56,736,15,2,1,0,0,205,44,-736
0,10,0,1,2,11,0,0,0,196,68,-4816,12,1,1,0,0,259,48,4816
1,18,4,0,11,6,1,1,0,236,57,3977,36,5,0,0,0,208,32,-3977
1,18,5,0,11,7,0,0,0,217,37,3026,20,2,1,0,0,174,37,-3026
0,22,3,0,4,12,1,0,0,190,51,-4262,16,2,0,0,0,224,40,4262
0,18,1,1,4,1,0,1,1,227,46,2476,15,2,1,0,0,248,53,-2476
0,15,2,0,3,9,0,0,0,217,41,-3545,39,2,1,1,0,224,55,3545
0,16,3,0,4,9,0,1,0,173,49,-4324,30,3,1,0,0,213,55,4324
1,11,3,0,5,6,1,0,0,223,63,-496,9,2,0,0,0,218,46,496
0,18,3,0,3,5,0,0,0,241,38,-1620,17,2,1,0,0,226,62,1620
1,18,3,1,6,10,0,0,0,201,48,-1334,14,4,1,0,0,198,44,1334
0,39,1,1,9,8,0,0,0,194,32,-796,18,6,0,0,0,215,44,796
1,39,3,1,6,2,1,0,0,238,44,1398,17,18,0,0,0,233,60,-1398
1,17,4,1,5,3,0,0,0,229,63,3005,18,2,0,0,0,197,32,-3005
0,18,4,1,3,8,0,0,0,222,40,-3156,18,4,0,0,0,238,54,3156
1,21,2,0,3,5,1,1,0,268,55,-473,16,6,0,0,0,246,46,473
0,14,4,0,5,10,0,0,0,196,36,-3397,22,2,0,1,0,225,49,3397
0,40,4,0,6,9,0,0,0,222,28,-1937,13,5,1,0,0,204,59,1937
1,37,6,1,10,4,0,0,0,218,48,3765,15,2,0,0,0,193,47,-3765
0,13,2,1,5,2,1,0,0,224,52,384,16,3,0,1,0,250,48,-384
1,16,1,1,11,5,1,0,0,223,40,2708,16,4,0,0,0,230,47,-2708
0,15,4,1,4,8,0,0,0,209,42,-2427,16,0,0,0,0,224,52,2427
1,18,2,1,6,3,1,0,0,245,45,1901,48,1,0,0,0,211,68,-1901
1,37,0,0,10,5,1,0,0,235,60,2480,15,1,0,1,0,221,40,-2480
0,16,2,0,1,10,0,1,0,219,52,-3581,14,6,1,0,0,248,31,3581
1,35,4,1,10,5,1,1,0,200,55,2911,15,3,0,0,0,212,52,-2911
0,16,3,0,1,4,0,1,0,224,50,-1245,16,4,1,0,0,241,53,1245
0,15,2,0,8,6,1,0,0,212,50,166,14,0,0,1,0,209,53,-166
0,14,6,0,1,6,0,0,0,169,56,-6309,19,1,0,0,1,270,48,6309
0,16,1,0,5,11,0,0,0,214,35,-2047,141,1,1,0,0,208,52,2047
0,15,2,1,3,4,0,0,0,213,49,-1464,19,1,1,0,0,238,56,1464
1,13,3,1,5,3,1,1,0,217,52,874,39,2,0,0,0,215,52,-874
0,18,10,1,2,5,1,0,0,250,43,-627,45,8,0,0,0,243,24,627
0,16,3,0,3,3,0,0,0,227,54,-334,12,3,0,0,0,251,46,334
0,19,2,1,7,8,1,0,0,240,52,449,16,3,0,0,0,177,48,-449
0,17,4,0,6,9,0,0,0,209,49,-780,24,2,0,0,0,200,32,780
0,20,4,0,4,6,0,1,0,234,65,-205,18,2,0,0,0,217,32,205
0,16,4,0,2,3,0,0,0,226,60,-1731,16,0,0,0,0,268,56,1731
0,34,2,0,10,9,1,0,0,219,53,947,47,3,0,0,0,194,48,-947
0,16,3,1,6,7,0,0,0,215,34,-713,18,3,1,0,0,207,47,713
1,15,1,1,3,4,1,0,0,223,56,1171,13,2,0,0,0,207,46,-1171
0,10,1,1,5,7,0,0,0,191,52,-459,16,2,1,0,0,196,40,459
1,19,3,1,8,2,0,0,0,209,44,2673,11,2,1,0,0,216,64,-2673
1,18,4,1,9,7,1,0,0,207,36,-251,15,3,0,0,0,221,48,251
0,29,2,1,5,2,0,0,0,245,49,534,15,4,1,1,0,277,58,-534
0,14,3,0,2,8,1,0,0,211,60,-4005,14,5,0,0,0,271,47,4005
1,15,2,1,2,4,1,1,0,239,64,-318,17,3,0,0,0,216,44,318
0,12,2,1,8,5,0,1,0,203,59,2682,15,0,1,0,0,165,50,-2682
0,15,5,1,4,3,1,0,0,244,47,2092,13,2,0,0,0,191,48,-2092
1,18,1,0,10,7,0,0,0,228,52,2300,16,3,0,0,0,187,43,-2300
1,15,2,1,6,3,1,0,0,241,44,2642,16,3,0,0,0,188,54,-2642
1,14,2,1,5,4,0,0,0,236,46,2833,12,0,1,0,0,172,67,-2833
0,14,3,1,8,8,0,0,0,214,40,-336,14,0,1,0,0,214,71,336
0,15,2,0,1,8,1,0,0,214,55,-5136,14,3,0,0,1,289,46,5136
1,14,2,0,13,7,0,0,0,238,40,1872,13,2,0,0,0,215,36,-1872
0,16,4,0,11,13,1,0,0,182,56,-1048,15,4,0,1,1,201,40,1048
1,15,2,0,4,5,1,0,0,242,59,-88,41,2,0,0,0,222,61,88
1,15,2,0,4,9,0,0,0,224,56,-1427,18,2,0,0,0,243,28,1427
1,17,2,0,8,11,0,1,0,180,37,-2440,14,5,0,0,0,219,40,2440
